inc,linc,es,fe,ter,hs,cr,cd,cc,cco
12000,4.079181246,2,0,1,1,1,1,1,0
10000,4,3,1,0,1,0,1,1,0
24000,4.380211242,2,0,1,1,0,1,1,0
23550,4.371990911,1,1,1,0,1,1,1,0
12000,4.079181246,2,0,0,0,0,1,0,0
13000,4.113943352,1,1,0,0,0,1,1,0
18000,4.255272505,1,1,1,1,0,1,1,0
19000,4.278753601,1,1,1,1,0,1,0,0
22000,4.342422681,1,1,1,1,1,1,1,0
24000,4.380211242,1,1,1,0,1,1,1,0
20000,4.301029996,1,1,1,1,1,1,1,0
30000,4.477121255,3,1,0,0,0,1,1,1
12000,4.079181246,1,1,1,0,1,0,,
22000,4.342422681,1,1,1,1,0,1,1,0
18070,4.256958153,1,1,1,0,0,1,1,0
15000,4.176091259,1,1,0,0,0,0,,
10000,4,4,0,1,0,0,0,,
18000,4.255272505,1,1,1,1,0,1,1,0
7000,3.84509804,1,1,1,1,0,0,,
21000,4.322219295,1,1,1,1,1,1,1,0
24000,4.380211242,1,1,1,0,0,0,,1
40000,4.602059991,2,0,1,1,1,1,1,1
14000,4.146128036,1,1,1,0,0,1,1,0
15000,4.176091259,1,1,1,1,1,1,1,0
15000,4.176091259,1,1,1,0,0,1,1,1
10000,4,1,1,0,0,0,0,,
24050,4.381115081,1,1,1,1,1,1,1,0
24050,4.381115081,3,1,0,0,1,1,1,1
15000,4.176091259,1,1,1,0,0,0,,
20000,4.301029996,1,1,0,0,0,1,0,0
12000,4.079181246,1,1,1,1,0,1,1,0
21015,4.322529394,1,1,1,1,1,1,1,0
0.01,-2,4,0,1,1,0,0,,
23000,4.361727836,1,1,1,1,1,1,1,0
21000,4.322219295,1,1,1,0,0,1,1,0
24000,4.380211242,1,1,1,1,1,1,1,0
20000,4.301029996,1,1,0,0,1,0,,
15000,4.176091259,1,1,0,0,1,0,,
10000,4,1,1,1,1,1,1,1,0
10000,4,1,1,0,1,1,0,,
10000,4,1,1,0,1,1,0,,
10000,4,1,1,1,1,1,1,1,0
10000,4,1,1,0,0,1,1,0,0
11000,4.041392685,1,1,0,0,1,1,0,0
2000,3.301029996,4,0,0,1,0,0,,
3000,3.477121255,2,0,0,0,1,0,,
10000,4,1,1,1,0,1,1,1,0
17000,4.230448921,1,1,1,1,0,1,0,0
10000,4,1,1,1,0,1,0,,
6000,3.77815125,1,1,0,0,1,1,0,0
23000,4.361727836,1,1,1,0,0,1,1,0
10000,4,1,1,1,0,0,0,,
0.01,-2,4,0,0,0,0,1,1,0
21000,4.322219295,1,1,0,0,1,1,1,1
23000,4.361727836,1,1,1,0,1,1,1,0
14000,4.146128036,1,1,1,0,0,1,1,0
18000,4.255272505,1,1,0,0,1,1,1,1
0.01,-2,4,0,0,1,0,0,,
10000,4,1,1,0,0,1,1,1,0
20000,4.301029996,1,1,1,0,0,1,1,0
20000,4.301029996,1,1,0,0,1,1,1,
19000,4.278753601,1,1,0,1,1,1,1,0
21000,4.322219295,1,1,1,0,0,0,,
15000,4.176091259,1,1,1,0,1,1,0,0
15000,4.176091259,2,0,0,0,0,1,1,0
20000,4.301029996,3,1,1,0,1,1,0,0
19500,4.290034611,1,1,1,1,0,1,1,0
20000,4.301029996,2,0,0,0,0,1,1,0
22000,4.342422681,1,1,1,0,0,1,1,0
13000,4.113943352,1,1,1,0,0,1,0,0
20000,4.301029996,2,0,1,1,0,0,,
10000,4,2,0,0,0,1,1,1,0
12000,4.079181246,1,1,0,0,1,1,1,1
