inc,es,fe,ter,hs,cr,cd,cc,cco
12000,2,0,1,1,1,1,1,0
10000,3,1,0,1,0,1,1,0
24000,2,0,1,1,0,1,1,0
23550,1,1,1,0,1,1,1,0
12000,2,0,0,0,0,1,0,0
13000,1,1,0,0,0,1,1,0
18000,1,1,1,1,0,1,1,0
19000,1,1,1,1,0,1,0,0
22000,1,1,1,1,1,1,1,0
24000,1,1,1,0,1,1,1,0
20000,1,1,1,1,1,1,1,0
20000,3,1,0,0,0,1,1,1
12000,1,1,1,0,1,0,,
22000,1,1,1,1,0,1,1,0
18070,1,1,1,0,0,1,1,0
15000,1,1,0,0,0,0,,
10000,4,0,1,0,0,0,,
18000,1,1,1,1,0,1,1,0
7000,1,1,1,1,0,0,,
21000,1,1,1,1,1,1,1,0
24000,1,1,1,0,0,0,,1
18000,2,0,1,1,1,1,1,1
14000,1,1,1,0,0,1,1,0
15000,1,1,1,1,1,1,1,0
15000,1,1,1,0,0,1,1,1
10000,1,1,0,0,0,0,,
22000,1,1,1,1,1,1,1,0
24000,3,1,0,0,1,1,1,1
15000,1,1,1,0,0,0,,
20000,1,1,0,0,0,1,0,0
12000,1,1,1,1,0,1,1,0
21015,1,1,1,1,1,1,1,0
0,4,0,1,1,0,0,,
23000,1,1,1,1,1,1,1,0
21000,1,1,1,0,0,1,1,0
24000,1,1,1,1,1,1,1,0
20000,1,1,0,0,1,0,,
15000,1,1,0,0,1,0,,
10000,1,1,1,1,1,1,1,0
10000,1,1,0,1,1,0,,
10000,1,1,0,1,1,0,,
10000,1,1,1,1,1,1,1,0
10000,1,1,0,0,1,1,0,0
11000,1,1,0,0,1,1,0,0
2000,4,0,0,1,0,0,,
3000,2,0,0,0,1,0,,
10000,1,1,1,0,1,1,1,0
17000,1,1,1,1,0,1,0,0
10000,1,1,1,0,1,0,,
6000,1,1,0,0,1,1,0,0
23000,1,1,1,0,0,1,1,0
10000,1,1,1,0,0,0,,
0,4,0,0,0,0,1,1,0
21000,1,1,0,0,1,1,1,1
23000,1,1,1,0,1,1,1,0
14000,1,1,1,0,0,1,1,0
18000,1,1,0,0,1,1,1,1
0,4,0,0,1,0,0,,
10000,1,1,0,0,1,1,1,0
20000,1,1,1,0,0,1,1,0
20000,1,1,0,0,1,1,1,
19000,1,1,0,1,1,1,1,0
21000,1,1,1,0,0,0,,
15000,1,1,1,0,1,1,0,0
15000,2,0,0,0,0,1,1,0
20000,3,1,1,0,1,1,0,0
19500,1,1,1,1,0,1,1,0
20000,2,0,0,0,0,1,1,0
22000,1,1,1,0,0,1,1,0
13000,1,1,1,0,0,1,0,0
20000,2,0,1,1,0,0,,
10000,2,0,0,0,1,1,1,0
12000,1,1,0,0,1,1,1,1
10000,1,1,0,0,1,1,1,1
15000,2,0,0,0,1,1,0,0
16680,1,1,1,0,0,1,1,1
20000,1,1,0,1,0,1,1,0
10000,2,0,0,0,0,1,0,1
8000,2,0,0,0,0,0,,
11000,1,1,1,1,0,0,,
17000,1,1,0,0,0,0,,
20000,2,0,0,1,0,1,1,0
10000,1,1,1,1,0,1,1,1
3000,2,0,0,1,0,1,0,1
15000,1,1,0,1,0,0,,
10000,4,0,0,0,0,1,0,0
15000,1,1,1,1,0,1,1,1
10000,3,1,1,0,1,1,1,0
10000,1,1,0,1,1,1,0,0
9000,1,1,0,0,0,1,0,0
20000,1,1,0,0,1,1,1,0
5000,3,1,1,0,0,1,1,0
10000,2,0,0,0,0,1,0,0
11000,1,1,0,0,1,0,,
15000,1,1,1,0,0,0,,
16000,1,1,0,1,0,1,0,1
15500,1,1,0,1,0,1,1,0
18000,1,1,1,0,1,0,,
22500,3,1,0,0,0,1,1,0
12000,3,1,0,0,0,1,1,1
0,4,0,0,1,0,1,1,1
14000,1,1,1,0,0,1,1,1
21000,1,1,1,1,0,1,1,0
16840,1,1,1,0,0,0,,
14000,1,1,0,0,1,0,,
10000,1,1,0,0,0,0,,
5000,2,0,1,0,0,0,,
10000,4,0,0,0,0,0,,
0,4,0,0,0,0,0,,
10000,4,0,0,1,1,1,1,0
20000,1,1,1,0,1,1,1,0
24000,2,0,0,1,0,1,1,0
10000,1,1,0,1,0,1,1,1
15000,2,0,0,0,0,1,1,0
14595,1,1,1,0,1,1,1,0
5200,4,0,0,1,0,1,0,
18000,1,1,0,0,1,0,,
15000,2,0,0,0,0,0,,
16000,1,1,0,0,1,0,,
15000,2,0,0,0,0,0,,
16000,1,1,0,0,0,0,,
18000,1,1,0,1,0,0,,
20000,1,1,0,1,0,0,,
20000,1,1,0,0,0,1,1,0
10000,2,0,1,0,0,1,1,0
20000,1,1,0,0,1,1,1,0
