inc,inc1,fe,ter,hs,cr,cd,cc,cco
12000,12,0,1,1,1,1,1,0
10000,10,1,0,1,0,1,1,0
24000,24,0,1,1,0,1,1,0
23550,23.55,1,1,0,1,1,1,0
12000,12,0,0,0,0,1,0,0
13000,13,1,0,0,0,1,1,0
18000,18,1,1,1,0,1,1,0
19000,19,1,1,1,0,1,0,0
22000,22,1,1,1,1,1,1,0
24000,24,1,1,0,1,1,1,0
20000,20,1,1,1,1,1,1,0
20000,20,1,0,0,0,1,1,1
12000,12,1,1,0,1,0,,
22000,22,1,1,1,0,1,1,0
18070,18.07,1,1,0,0,1,1,0
15000,15,1,0,0,0,0,,
10000,10,0,1,0,0,0,,
18000,18,1,1,1,0,1,1,0
7000,7,1,1,1,0,0,,
21000,21,1,1,1,1,1,1,0
24000,24,1,1,0,0,0,,1
18000,18,0,1,1,1,1,1,1
14000,14,1,1,0,0,1,1,0
15000,15,1,1,1,1,1,1,0
15000,15,1,1,0,0,1,1,1
10000,10,1,0,0,0,0,,
22000,22,1,1,1,1,1,1,0
24000,24,1,0,0,1,1,1,1
15000,15,1,1,0,0,0,,
20000,20,1,0,0,0,1,0,0
12000,12,1,1,1,0,1,1,0
21015,21.015,1,1,1,1,1,1,0
0.1,0.0001,0,1,1,0,0,,
23000,23,1,1,1,1,1,1,0
21000,21,1,1,0,0,1,1,0
24000,24,1,1,1,1,1,1,0
20000,20,1,0,0,1,0,,
15000,15,1,0,0,1,0,,
10000,10,1,1,1,1,1,1,0
10000,10,1,0,1,1,0,,
10000,10,1,0,1,1,0,,
10000,10,1,1,1,1,1,1,0
10000,10,1,0,0,1,1,0,0
11000,11,1,0,0,1,1,0,0
2000,2,0,0,1,0,0,,
3000,3,0,0,0,1,0,,
10000,10,1,1,0,1,1,1,0
17000,17,1,1,1,0,1,0,0
10000,10,1,1,0,1,0,,
6000,6,1,0,0,1,1,0,0
23000,23,1,1,0,0,1,1,0
10000,10,1,1,0,0,0,,
0.1,0.0001,0,0,0,0,1,1,0
21000,21,1,0,0,1,1,1,1
23000,23,1,1,0,1,1,1,0
14000,14,1,1,0,0,1,1,0
18000,18,1,0,0,1,1,1,1
0.1,0.0001,0,0,1,0,0,,
10000,10,1,0,0,1,1,1,0
20000,20,1,1,0,0,1,1,0
20000,20,1,0,0,1,1,1,
19000,19,1,0,1,1,1,1,0
21000,21,1,1,0,0,0,,
15000,15,1,1,0,1,1,0,0
15000,15,0,0,0,0,1,1,0
20000,20,1,1,0,1,1,0,0
19500,19.5,1,1,1,0,1,1,0
20000,20,0,0,0,0,1,1,0
22000,22,1,1,0,0,1,1,0
13000,13,1,1,0,0,1,0,0
20000,20,0,1,1,0,0,,
10000,10,0,0,0,1,1,1,0
12000,12,1,0,0,1,1,1,1
10000,10,1,0,0,1,1,1,1
15000,15,0,0,0,1,1,0,0
16680,16.68,1,1,0,0,1,1,1
20000,20,1,0,1,0,1,1,0
10000,10,0,0,0,0,1,0,1
8000,8,0,0,0,0,0,,
11000,11,1,1,1,0,0,,
17000,17,1,0,0,0,0,,
20000,20,0,0,1,0,1,1,0
10000,10,1,1,1,0,1,1,1
3000,3,0,0,1,0,1,0,1
15000,15,1,0,1,0,0,,
10000,10,0,0,0,0,1,0,0
15000,15,1,1,1,0,1,1,1
10000,10,1,1,0,1,1,1,0
10000,10,1,0,1,1,1,0,0
9000,9,1,0,0,0,1,0,0
20000,20,1,0,0,1,1,1,0
5000,5,1,1,0,0,1,1,0
10000,10,0,0,0,0,1,0,0
11000,11,1,0,0,1,0,,
15000,15,1,1,0,0,0,,
16000,16,1,0,1,0,1,0,1
15500,15.5,1,0,1,0,1,1,0
18000,18,1,1,0,1,0,,
22500,22.5,1,0,0,0,1,1,0
12000,12,1,0,0,0,1,1,1
0.1,0.0001,0,0,1,0,1,1,1
14000,14,1,1,0,0,1,1,1
21000,21,1,1,1,0,1,1,0
16840,16.84,1,1,0,0,0,,
14000,14,1,0,0,1,0,,
10000,10,1,0,0,0,0,,
5000,5,0,1,0,0,0,,
10000,10,0,0,0,0,0,,
0.1,0.0001,0,0,0,0,0,,
10000,10,0,0,1,1,1,1,0
20000,20,1,1,0,1,1,1,0
24000,24,0,0,1,0,1,1,0
10000,10,1,0,1,0,1,1,1
15000,15,0,0,0,0,1,1,0
14595,14.595,1,1,0,1,1,1,0
5200,5.2,0,0,1,0,1,0,
18000,18,1,0,0,1,0,,
15000,15,0,0,0,0,0,,
16000,16,1,0,0,1,0,,
15000,15,0,0,0,0,0,,
16000,16,1,0,0,0,0,,
18000,18,1,0,1,0,0,,
20000,20,1,0,1,0,0,,
20000,20,1,0,0,0,1,1,0
10000,10,0,1,0,0,1,1,0
20000,20,1,0,0,1,1,1,0
10000,10,0,1,0,0,1,1,0
14500,14.5,1,1,0,1,0,,
15000,15,1,1,0,1,1,1,0
5000,5,1,0,0,0,1,0,
22000,22,1,0,0,1,1,1,0
15000,15,1,1,0,0,1,1,0
5000,5,0,0,0,0,1,0,
15000,15,1,0,1,0,1,0,
15000,15,0,1,0,1,1,0,1
13000,13,1,1,0,1,0,,
24000,24,1,1,1,1,1,1,0
23000,23,1,1,0,0,1,0,
9000,9,1,1,0,0,1,1,1
19000,19,1,1,0,0,1,1,0
15000,15,1,0,1,0,1,1,0
20000,20,1,0,0,0,0,,
3000,3,0,0,1,0,1,0,1
15000,15,1,0,0,0,0,,
7000,7,0,0,1,0,1,1,1
6000,6,0,0,0,0,1,1,1
15000,15,0,0,0,0,0,,
10000,10,1,1,1,1,1,1,1
4000,4,1,0,0,0,1,0,
21000,21,1,0,1,1,0,,
10000,10,0,0,0,0,0,,
11000,11,1,0,1,1,1,1,0
10000,10,1,0,1,0,0,,
0.1,0.0001,0,1,0,0,0,,
20000,20,0,1,0,1,1,1,0
24000,24,1,0,1,0,1,1,0
0.1,0.0001,0,0,0,0,0,,
14000,14,1,0,0,0,1,1,0
20000,20,1,0,1,1,1,0,0
10000,10,0,0,0,1,1,1,0
0.1,0.0001,0,0,0,0,0,,
15000,15,0,1,1,1,1,1,0
15650,15.65,0,0,0,0,1,1,1
24000,24,1,1,0,0,1,1,0
5000,5,1,0,1,0,0,,
20000,20,1,1,1,1,1,1,0
15000,15,0,1,0,1,1,1,1
23000,23,1,1,1,1,1,1,0
18600,18.6,1,1,0,0,1,1,0
23000,23,1,1,1,1,0,,
20000,20,1,1,0,0,0,,
21000,21,1,1,0,0,0,,
21500,21.5,1,1,0,0,0,,
19500,19.5,1,1,0,0,0,,
24000,24,1,0,0,0,1,1,1
21000,21,1,0,1,1,1,1,0
22000,22,1,1,0,1,0,,
22000,22,1,1,0,0,1,1,0
11000,11,1,0,0,0,0,,
12000,12,0,1,1,0,0,,
21000,21,1,1,1,1,0,,
10000,10,1,1,0,0,0,,1
20000,20,1,1,0,0,0,,1
15000,15,1,1,0,0,1,1,0
12000,12,1,0,0,0,0,,
20000,20,1,0,0,1,1,0,1
15000,15,1,0,0,0,1,1,0
14000,14,1,1,1,0,0,,
17000,17,0,1,0,0,0,,
6000,6,1,0,0,0,0,,1
22000,22,0,1,0,1,1,1,0
10000,10,1,0,1,0,1,1,1
12000,12,1,1,0,1,1,1,0
21000,21,1,1,0,1,1,1,0
20000,20,1,1,1,0,0,,
12000,12,0,0,0,0,1,0,0
12000,12,1,1,0,0,1,1,0
10000,10,1,1,1,0,0,,
10000,10,1,0,0,1,0,,
16000,16,1,0,0,0,0,,
18000,18,1,0,1,0,1,1,0
8000,8,1,0,0,1,0,,
20000,20,1,1,1,0,0,,
14000,14,1,0,1,0,0,,
17000,17,1,1,0,0,0,,
20000,20,1,0,0,0,0,,
5000,5,0,1,0,0,0,,
17000,17,1,1,0,0,1,1,0
19000,19,1,1,0,0,1,1,0
15000,15,1,0,0,0,0,,
7000,7,0,0,1,0,1,1,1
6000,6,0,0,0,0,1,1,1
15000,15,0,0,0,0,0,,
10000,10,1,1,1,1,1,1,1
4000,4,1,0,0,0,1,0,
21000,21,1,0,1,1,0,,
